year,make,model,mileage,title_status,location,engine,drivetrain,transmission,body_style,exterior_color,interior_color,num_modifications,sale_price,date,url,image_url,has_forced_induction,state
2002,Porsche,996 911,84046,Clean,"Brooklyn, NY 11207",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Arctic Silver Metallic,Cinnamon Brown,11,61865,7/28/24,https://carsandbids.com/auctions/JqzCN2fF/2002-porsche-911-turbo-coupe-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/7a0a3c6148108c9c64425dd85e0181fa3cccb652/photos/3oqXL1ao-ckGlUSQqve-(edit).jpg?t=172074120428",1,NY
2000,Porsche,996 911,35507,Clean,"Loveland, CO 80538",3.4L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Mirage Metallic,Grey,0,38947,9/17/25,https://carsandbids.com/auctions/f8NR0Xy8/2000-porsche-911-carrera-coupe-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/exterior/KY0JRo15-n5CLlpP/edit/l4mG9.jpg?t=175769579560",0,CO
2003,Porsche,996 911,40384,Clean,"Rhinebeck, NY 12572",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Black,1,32194,4/28/22,https://carsandbids.com/auctions/EvQdgWCh/2003-porsche-911-carrera-coupe-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8864cd06c16cf34eddf5229bf01bf6bfafe9d766/photos/3Bpdbdbb-gOvrj5Qd8V-(edit).jpg?t=165258302538",0,NY
1998,Porsche,996 911,121400,Clean,"Naperville, IL 60565",6.0L V8,Rear-wheel drive,Manual (6-Speed),Coupe,Arctic Silver Metallic,Graphite Grey,41,24748,10/10/21,https://carsandbids.com/auctions/22fwfPOd/1999-porsche-911-carrera-3,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3OzxeE5Y.V0DCxzd7H-(edit).jpg?t=163287269440",0,IL
1999,Porsche,996 911,94348,Clean,"Dripping Springs, TX 78620",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Convertible,Arctic Silver Metallic,Graphite Grey,1,17067,12/1/22,https://carsandbids.com/auctions/eKGBavh1/1999-porsche-911-carrera-cabriolet-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/ee7f173e46ec801a48d1673c50f9cebaa1bf2854/photos/9n2yjGkG-8XLeg3Q8nm-(edit).jpg?t=166854414908",0,TX
1999,Porsche,996 911,145406,Clean,"Oakland, CA 94618",3.4L Flat-6,Rear-wheel drive,Automatic (5-Speed),Coupe,Arctic Silver Metallic,Black,7,16278,2/16/23,https://carsandbids.com/auctions/2iVUi9iG/1999-porsche-911-carrera-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/8864cd06c16cf34eddf5229bf01bf6bfafe9d766/photos/3gAaXGxz-A0n4PRP1tZ-(edit).jpg?t=167484819698",0,CA
2002,Porsche,996 911,89373,Clean,"Sykesville, MD 21784",3.6L Flat-6,Rear-wheel drive,Manual (6-Speed),Coupe,Olive Green,Black/Tartan,14,21394,12/22/23,https://carsandbids.com/auctions/MBn3ihTv/2002-porsche-911-carrera-coupe-v2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/c51905b0000b639a185eeb080dd879bf007f5604/photos/35JMYZ8R-9WwxFtH9Vc-(edit).jpg?t=170013198707",0,MD
2002,Porsche,996 911,60356,Clean,"Inverness, CA 94937",3.6L Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Lapis Blue Metallic,Graphite Grey,5,23576,6/15/23,https://carsandbids.com/auctions/Sr6b02mL/2002-porsche-911-carrera-4-cabriolet-2,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/d9b636c2ec84ddc3bc7f2eb32861b39bdd5f9683/photos/3pn2N6ZW-CtS4QZAx04-(edit).jpg?t=168701721662",0,CA
2004,Porsche,996 911,114470,Clean,"Los Gatos, CA 95032",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Convertible,Black,Black,4,39493,4/14/24,https://carsandbids.com/auctions/gEKG895i/2004-porsche-911-turbo-cabriolet,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/59339d5e07287c702e69307de910cceaa69c1d04/photos/35Nq01lR-4GwxDskbPO-(edit).jpg?t=171190636585",1,CA
2001,Porsche,996 911,53934,Clean,"Bonney Lake, WA 98391",3.6L Turbocharged Flat-6,4WD/AWD,Manual (6-Speed),Coupe,Seal Grey Metallic,Graphite Grey,5,47107,6/23/20,https://carsandbids.com/auctions/beqcdWFM/2001-porsche-911-turbo-coupe,"https://media.carsandbids.com/cdn-cgi/image/width=2080,quality=70/5a0782a85481fa3b119f02e7897ea3b11e56d666/photos/UcjdIC1pr.jpg?t=159528613600",1,WA
